sensor_id,blade_id,StartLap,EndLap,LapCount,PulseCount,WidePointCount,SelectedPointCount,xc_mm,xc_seed_mm,center_gap_mm,SelectedWidthMm,RMSE,BoundRatio,LocalXcMAD,PulseXcMAD,HalfTemplateRMSE,HalfXcShiftMm,HalfAmplitudeRelShift,LeftGradientRatio,RightGradientRatio,WidthDeficit,PointDeficit,IsStableCandidate,ChosenScore,Reason
3,5,26,45,20,20,242580,242580,-0.00777501780586979,-0.0101187745573017,0.00234375675143193,14.1457013009282,0.0281624285894951,0.0479841701706653,0.000107447656271817,0.00701704921715711,0.0067041916161204,0.00378247037230834,0.00131499422869859,0.500440603808184,0.499559396191816,0,0,1,0.883457733859128,static_fit_scored_candidate
3,5,27,46,20,20,242512,242512,-0.00766757014959798,-0.0106077256654306,0.00294015551583265,14.1419962616802,0.0284121518855479,0.0480636009764465,0.000107447656271817,0.00748530010985372,0.00623772293179899,0.00343676675003073,0.000657713336659458,0.500356532905388,0.499643467094611,0,0,1,1.41149640460937,static_fit_scored_candidate
3,5,28,47,20,20,242576,242576,-0.00659878295287522,-0.0101187745573017,0.0035199916044265,14.1455020452837,0.028694126518956,0.0479849614141547,0.00106878719672275,0.00724080188695441,0.00662965227126342,0.00447959717112397,0.000657713336659458,0.500264742111321,0.499735257888679,0,0,1,6.12306367975026,static_fit_scored_candidate
3,5,29,48,20,20,242569,242569,-0.0054595835538643,-0.00867887423614156,0.00321929068227725,14.1452113001524,0.0291192391347837,0.0483155516712564,0.000396235245978469,0.00702564191667241,0.00657669224992039,0.00331497672246063,0.00131499422869859,0.500464873270729,0.499535126729271,0,0,1,3.00002951943334,static_fit_scored_candidate
3,5,30,49,20,20,242474,242474,-0.00506334830788583,-0.00867887423614156,0.00361552592825572,14.139358984451,0.0292335784417769,0.0479222685956548,0.000396235245978469,0.00660776309976216,0.00637056403846091,0.00385308554856279,0.000657713336659458,0.500329684632447,0.499670315367553,0,0,1,3.26857180856893,static_fit_scored_candidate
3,5,31,50,20,20,242500,242500,-0.00465147673021688,-0.0101187745573017,0.00546729782708484,14.1416359979427,0.0292034534881692,0.0477030927835052,0.000411871577668951,0.00669807423248228,0.00630668256636522,0.00555542135422683,0.00131499422869859,0.500332443635223,0.499667556364777,0,0,1,4.01623777919336,static_fit_scored_candidate
3,5,32,51,20,20,242480,242480,-0.0037895741999203,-0.00867887423614156,0.00488930003622126,14.1400543000925,0.0289621296262368,0.0475915539425932,8.65017149970226e-06,0.00574779093839684,0.0060077573804055,0.0069252480125943,0.00131499422869859,0.500470664607067,0.499529335392933,0,0,1,2.78861076916306,static_fit_scored_candidate
3,5,33,52,20,20,242509,242509,-0.00378092402842059,-0.00867887423614156,0.00489795020772096,14.1420817679791,0.0291704590466838,0.048080095005608,8.65017149970226e-06,0.00463436809541654,0.00566723608037047,0.006356159967466,0.000657713336659458,0.500444921934125,0.499555078065875,0,0,1,3.06178468931921,static_fit_scored_candidate
3,5,34,53,20,20,242551,242551,-0.00332281658650483,-0.00852041538901884,0.00519759880251401,14.144085340926,0.0292185269987074,0.0478907615686533,0.000327551062713033,0.00537829053507084,0.00537555630339415,0.00621101306609511,0.000657713336659458,0.500342657526736,0.499657342473264,0,0,1,3.49875004795157,static_fit_scored_candidate
3,5,35,54,20,20,242416,242416,-0.00299526552379179,-0.00736032021483022,0.00436505469103842,14.1364255802913,0.0293812019187094,0.0537753283611643,0.000327551062713033,0.00587792894009118,0.00609746440218273,0.00802467609999694,0.000657713336659458,0.500390634815641,0.499609365184359,0,0,1,3.65564004908073,static_fit_scored_candidate
3,5,36,55,20,20,242493,242493,-0.00256755237662662,-0.00736032021483022,0.0047927678382036,14.1408544702279,0.0293264117164407,0.0540874901029295,0.000199579222909233,0.00569240564231308,0.00513028636580905,0.00609986948562322,0,0.500356790342929,0.499643209657071,0,0,1,3.49694665430069,static_fit_scored_candidate
3,5,37,56,20,20,242530,242530,-0.00236797315371739,-0.00686374198913369,0.00449576883541631,14.1431430083949,0.0292645670519585,0.0542443883693698,0.000199579222909233,0.00569240564231308,0.00504891983880845,0.00688583288484635,0,0.500408851841487,0.499591148158513,0,0,1,3.31788930155356,static_fit_scored_candidate
3,5,38,57,20,20,242556,242556,-0.00174482900863183,-0.00642838146505576,0.00468355245642392,14.1446753382499,0.0291262639790901,0.0541565659064299,0.000134748203918973,0.00598947076913523,0.00436880808251387,0.00628279372750952,0.000657713336659458,0.500441962752882,0.499558037247118,0,0,1,3.22302822033921,static_fit_scored_candidate
3,5,39,58,20,20,242505,242505,-0.00161008080471286,-0.00642838146505576,0.0048183006603429,14.1415947271638,0.0289222488915368,0.0539693535883352,8.56203596620677e-05,0.00565578348321541,0.00385876072536368,0.00355831610607323,0.000658146208198661,0.500478118539305,0.499521881460695,0,0,1,3.02545237312739,static_fit_scored_candidate
