case_name,event_id,rev_id,event_in_rev,opr_reference_time_s,opr_timing_reference,opr_center_time_s,opr_start_time_s,opr_end_time_s,opr_width_s,center_offset_s,opr_peak_value,center_quality,source_file_id,rev_period_s,rpm,opr_events_per_revolution
1000_2500_3500,3678,613,6,24.3651072,threshold_rising_edge,24.3652334960521,24.3651072,24.3653666,0.000259400000000909,-3.40394789333232e-06,4.78417349845921,1,13000,0.0320013999999986,1874.91797233879,6
1000_2500_3500,3679,614,1,24.3704126,threshold_rising_edge,24.3705816031781,24.3704126,24.3707554,0.000342799999998533,-2.39682194091984e-06,4.93441479155765,1,13000,0.0319994000000001,1875.03515690918,6
1000_2500_3500,3680,614,2,24.3757732,threshold_rising_edge,24.3758896521514,24.3757732,24.3760096,0.000236399999998582,-1.74784860718091e-06,4.78405721262864,1,13000,0.0319973999999981,1875.15235612905,6
1000_2500_3500,3681,614,3,24.381108,threshold_rising_edge,24.3812299563575,24.381108,24.381355,0.00024699999999811,-1.54364246895966e-06,4.75754404325833,1,13000,0.0319947999999997,1875.30473701979,6
1000_2500_3500,3682,614,4,24.3864124,threshold_rising_edge,24.3865597930977,24.3864124,24.3867124,0.000299999999999301,-2.60690231002059e-06,4.80870980870981,1,13000,0.0319906000000003,1875.55094308951,6
1000_2500_3500,3683,614,5,24.3917814,threshold_rising_edge,24.3919003190641,24.3917814,24.3920236,0.000242200000002413,-2.18093592607715e-06,4.77649863364149,1,13000,0.031986400000001,1875.79721381581,6
1000_2500_3500,3684,614,6,24.3971086,threshold_rising_edge,24.3972348577569,24.3971086,24.397368,0.000259400000000909,-3.44224311987773e-06,4.79591836734694,1,13000,0.0319830000000003,1875.99662320606,6
1000_2500_3500,3685,615,1,24.402412,threshold_rising_edge,24.4025811517374,24.402412,24.402755,0.000342999999997318,-2.34826259770671e-06,4.9309262166405,1,13000,0.0319801999999996,1876.16087454115,6
1000_2500_3500,3686,615,2,24.4077706,threshold_rising_edge,24.4078869902524,24.4077706,24.408007,0.000236400000002135,-1.80974763708264e-06,4.76068376068376,1,13000,0.0319776000000012,1876.31341939351,6
1000_2500_3500,3687,615,3,24.4131028,threshold_rising_edge,24.4132245472052,24.4131028,24.4133496,0.000246799999999325,-1.65279483965719e-06,4.77940577940578,1,13000,0.0319749999999992,1876.465989054,6
1000_2500_3500,3688,615,4,24.418403,threshold_rising_edge,24.4185501313662,24.418403,24.4187024,0.000299399999999395,-2.5686338176456e-06,4.79196464910751,1,13000,0.0319723999999972,1876.61858352846,6
1000_2500_3500,3689,615,5,24.4237678,threshold_rising_edge,24.4238865184863,24.4237678,24.4240098,0.000242000000000075,-2.28151368020235e-06,4.76405604977034,1,13000,0.0319696,1876.7829437966,6
