gap_true_mm,vib_A_mm,vib_f_Hz,eta,gHat_raw_corr_mm,gHat_raw_rmse_mm,gHat_width_mm,err_raw_corr_mm,err_raw_rmse_mm,err_width_mm,raw_corr_correct,raw_rmse_correct,width_correct,best_raw_corr,best_width_dist,width_correct_rank,width_separability
0.4,0.3,1000,0.00628318530717959,0.4,0.4,0.4,0,0,0,1,1,1,0.999986957667149,0.000230816388809666,1,6.00330483679843
0.4,0.5,0,0,0.4,0.4,0.4,0,0,0,1,1,1,1,2.40370335797945e-17,1,8267550928074.43
0.4,0.5,200,0.0020943951023932,0.4,0.4,0.4,0,0,0,1,1,1,0.999998550038451,7.35880512132626e-05,1,22.9979973867445
0.4,0.5,400,0.00418879020478639,0.4,0.4,0.4,0,0,0,1,1,1,0.999994200500433,0.000148482750554439,1,10.4145204416552
0.4,0.5,600,0.00628318530717959,0.4,0.4,0.4,0,0,0,1,1,1,0.999986951491096,0.000230859649775176,1,6.00187783811261
0.4,0.5,800,0.00837758040957278,0.4,0.4,0.4,0,0,0,1,1,1,0.999977016863994,0.000320469789645242,1,3.77713455837725
0.4,0.5,1000,0.010471975511966,0.4,0.4,0.4,0,0,0,1,1,1,0.999964314584133,0.000398480604806195,1,2.65747873158723
0.4,0.7,0,0,0.4,0.4,0.4,0,0,0,1,1,1,1,2.96429677516722e-17,1,8267550928074.38
0.4,0.7,200,0.00293215314335047,0.4,0.4,0.4,0,0,0,1,1,1,0.999997158052753,0.000103451399636342,1,15.7947361860689
0.4,0.7,400,0.00586430628670095,0.4,0.4,0.4,0,0,0,1,1,1,0.999988632362519,0.000213883724936181,1,6.63335806495489
0.4,0.7,600,0.00879645943005142,0.4,0.4,0.4,0,0,0,1,1,1,0.999974725244323,0.000336240047535026,1,3.5072690511944
0.4,0.7,800,0.0117286125734019,0.4,0.4,0.4,0,0,0,1,1,1,0.999955061907636,0.000442698221507469,1,2.19850377708882
0.4,0.7,1000,0.0146607657167524,0.4,0.4,0.4,0,0,0,1,1,1,0.999929282971017,0.000560638097180111,1,1.32890011536222
0.4,1,0,0,0.4,0.4,0.4,0,0,0,1,1,1,1,2.40370335797945e-17,1,8267550928074.43
0.4,1,200,0.00418879020478639,0.4,0.4,0.4,0,0,0,1,1,1,0.999994199985406,0.000148487192530398,1,10.4141659831421
0.4,1,400,0.00837758040957278,0.4,0.4,0.4,0,0,0,1,1,1,0.999977010090346,0.000320506787734367,1,3.7765017416405
0.4,1,600,0.0125663706143592,0.4,0.4,0.4,0,0,0,1,1,1,0.999948224772182,0.000473714520697331,1,1.92760118515038
0.4,1,800,0.0167551608191456,0.4,0.4,0.4,0,0,0,1,1,1,0.999907938470585,0.000650799424875118,1,0.879201991212392
0.4,1,1000,0.020943951023932,0.4,0.4,0.4,0,0,0,1,1,1,0.999856872271843,0.000806248613800118,1,0.348335225131801
0.6,0,0,0,0.6,0.6,0.6,0,0,0,1,1,1,1,3.41700896806661e-17,1,10257232598084.2
0.6,0,200,0,0.6,0.6,0.6,0,0,0,1,1,1,1,3.41700896806661e-17,1,10257232598084.2
0.6,0,400,0,0.6,0.6,0.6,0,0,0,1,1,1,1,3.41700896806661e-17,1,10257232598084.2
0.6,0,600,0,0.6,0.6,0.6,0,0,0,1,1,1,1,3.41700896806661e-17,1,10257232598084.2
0.6,0,800,0,0.6,0.6,0.6,0,0,0,1,1,1,1,3.41700896806661e-17,1,10257232598084.2
0.6,0,1000,0,0.6,0.6,0.6,0,0,0,1,1,1,1,3.41700896806661e-17,1,10257232598084.2
