method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s
B_gap_library_joint,40,39.9911751308919,0.0016615622685431,2,20262432,0.99325366299103,0.00674633700897043,499.998137565628,1299.99740042984,0.250423751710842,0.150374697770461,0.00223100226460815,0.000399224740651433,0.000257882195557917,1.817953
C_same_gap_direct,40,39.9911751308919,0.0016615622685431,2,20262432,1,0,499.997121351415,1299.99719022017,0.250063447884184,0.1501767076509,0.00284421420576564,0.000120077767542012,0.000186995220228976,0.34904
A_blind_transfer,30,30.0285079842864,0.00525432124279254,1,20263431,NaN,NaN,500.010647716442,1299.97464261288,0.24901161780082,0.151226007405861,0.0180025517819615,0.00110719480252046,0.000566893357583994,0.3893703
B_gap_library_joint,30,30.0285079842864,0.00525432124279254,1,20263431,0.993362113587726,0.00663788641227381,500.009299153719,1299.97783036388,0.249401223778584,0.151209645767283,0.0157343949181268,0.000904210994349286,0.000607850757827145,1.9937364
C_same_gap_direct,30,30.0285079842864,0.00525432124279254,1,20263431,1,0,500.009187028134,1299.97659502794,0.249236991223584,0.150822252320249,0.0162960000975261,0.000792630548332715,0.000579898512549837,0.4140279
A_blind_transfer,30,29.9652990887161,0.00525432124279254,2,20263432,NaN,NaN,500.010196907483,1300.00172068528,0.251180523720315,0.149233445913302,0.00595879637987196,0.000973538903506696,0.000591963352636973,0.4454978
B_gap_library_joint,30,29.9652990887161,0.00525432124279254,2,20263432,0.993398241955046,0.00660175804495422,500.010460736603,1300.0017983719,0.251514751894187,0.149648324600335,0.00612955424901429,0.000933213646925821,0.000629431314437123,1.9422431
C_same_gap_direct,30,29.9652990887161,0.00525432124279254,2,20263432,1,0,500.010892599575,1300.00189649031,0.251521789951802,0.149054751548645,0.00639454494046277,0.00123351920157841,0.000606281131161335,0.3909748
A_blind_transfer,20,19.9671044274919,0.016615622685431,1,20264431,NaN,NaN,500.064311345398,1299.90327028767,0.25030291116133,0.150606163323014,0.0805205288627917,0.000454537242172148,0.00189370929418438,0.4168635
B_gap_library_joint,20,19.9671044274919,0.016615622685431,1,20264431,0.992564556488285,0.00743544351171477,500.031653132188,1299.9465064314,0.250095483180738,0.151577395824487,0.0425733503933827,0.000836439502612224,0.00191849091335069,2.0564106
C_same_gap_direct,20,19.9671044274919,0.016615622685431,1,20264431,1,0,500.033410166065,1299.94608020869,0.250050788006417,0.15094750762031,0.0436649786852286,0.000499147813363285,0.00191330090958589,0.4190351
A_blind_transfer,20,20.026880777307,0.016615622685431,2,20264432,NaN,NaN,500.009341374872,1299.91359418765,0.252127540200257,0.147764049607056,0.0478735936101486,0.00218174529660048,0.00185599119946972,0.4764023
B_gap_library_joint,20,20.026880777307,0.016615622685431,2,20264432,0.992666932764759,0.00733306723524108,500.018731112435,1299.93853233774,0.253316023230609,0.150802098569189,0.0400993873461459,0.00205906089989884,0.00190977913217147,2.162688
