scenario,num_revs_high,method,target_snr_db,freq_error_mean_Hz,freq_error_median_Hz,freq_error_p90_Hz,freq_error_std_Hz,amp_error_mean_mm,rmse_mean,elapsed_mean_s,gap_error_mean_mm,success_rate,boundary_hit_rate,num_trials
integer_500_1300,20,A4_sensorcv_alias,10,0.0962921194942415,0.111752285020032,0.123892207114739,0.0406343123811119,0.0100257742540271,0.00600221407202038,5.75739913333333,NaN,1,0,3
integer_500_1300,20,A2_constrained_varpro,10,0.0256577039542189,0.0257481368026617,0.0359275455698878,0.0128601487060749,0.00482546811112204,0.00600546131344458,1.70179393333333,NaN,1,0,3
integer_500_1300,20,A3_physics_template,10,0.0254490198600195,0.0248165778949101,0.0348790462827878,0.0116423131583791,0.00485243961116455,0.00600723070623158,2.50457693333333,NaN,1,0,3
integer_500_1300,20,B_gap_library_joint,10,0.0235542123652503,0.023156810075335,0.0321689971212493,0.0106746798238097,0.00585835037495396,0.00603804304056746,0.685435433333333,0.00737175952980214,1,0,3
integer_500_1300,20,C_same_gap_direct,10,0.0229193239922078,0.0248261319263747,0.0324327282645527,0.0124782079622151,0.00376703267707134,0.00603612900905239,0.363951733333333,0,1,0,3
noninteger_520_1270,2,A_blind_transfer,10,1.91200133751829,1.19783662484326,3.69748797001018,2.1444427229205,0.01578275763992,0.00437924434456771,0.717318933333333,NaN,0.333333333333333,0,3
noninteger_520_1270,2,A4_sensorcv_alias,10,9.00254814846892,4.32240080630191,18.8400346531807,11.8420431723965,0.0208711968249986,0.00447578236320258,1.40726306666667,NaN,0.333333333333333,0,3
noninteger_520_1270,2,A2_constrained_varpro,10,1.8002383958764,2.49549992804594,2.49616192493021,1.20494500194996,0.0243849128302647,0.00493611401438801,0.628078466666667,NaN,0.333333333333333,0,3
noninteger_520_1270,2,A3_physics_template,10,0.604032850520089,0.385685844697662,0.97321846837757,0.44868733285778,0.0144083072669209,0.00486701546986689,0.999374066666667,NaN,0.666666666666667,0,3
noninteger_520_1270,2,B_gap_library_joint,10,0.626400489119457,0.447455599947716,1.01012660323017,0.461706180266009,0.0146856667928804,0.00494670169876487,0.1446876,0.00771125758043338,0.666666666666667,0,3
noninteger_520_1270,2,C_same_gap_direct,10,0.671507726301021,0.535905941766714,0.94857256315795,0.33377202212592,0.0158650430250991,0.00494966287540098,0.0740151,0,0.666666666666667,0,3
noninteger_520_1270,4,A_blind_transfer,10,8.98069850822708,1.28388501901287,20.1350045892505,13.7433385254393,0.0244189819370957,0.00513560236492929,1.11967486666667,NaN,0.333333333333333,0,3
noninteger_520_1270,4,A4_sensorcv_alias,10,8.7289164713798,1.28388501901287,19.530727700817,13.3073060658904,0.0186277517927527,0.00517224782412148,2.12055363333333,NaN,0.333333333333333,0,3
noninteger_520_1270,4,A2_constrained_varpro,10,16.7481700229202,25.0001313620774,25.0034863390084,14.2964483243519,0.0392469838898055,0.00557708786622468,0.975070833333333,NaN,0.333333333333333,0,3
noninteger_520_1270,4,A3_physics_template,10,16.7458972061553,25.0001350296226,25.0031759070007,14.3000512606223,0.0388981647727747,0.00558393530601404,1.35947806666667,NaN,0.333333333333333,0,3
noninteger_520_1270,4,B_gap_library_joint,10,0.210603260489393,0.258169489321233,0.306165956004213,0.137653184990075,0.00734966561550365,0.00544028167644307,0.2181604,0.00776508548017696,1,0,3
noninteger_520_1270,4,C_same_gap_direct,10,0.213307186027407,0.232209839663142,0.303884407841383,0.119077800300099,0.00712828447685066,0.00543631113549564,0.156623666666667,0,1,0,3
