method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
A2_constrained_varpro,20,20.0578536997877,0.016615622685431,5,20261435,NaN,NaN,500.041061908261,1300.08124608345,0.248983099351018,0.147791569687994,0.0611539958572109,0.00161266548049369,0.00186174475515223,1.1627674,1,0,0,0,0.965452437065871,2.17853846817955
B_gap_library_joint,20,20.0578536997877,0.016615622685431,5,20261435,0.99351546415483,0.00648453584516973,500.04746629956,1300.0756548113,0.249029448999063,0.147895893940602,0.0615605554278034,0.00153732853016705,0.00188511710004048,0.4272122,1,0,0,0,NaN,NaN
C_same_gap_direct,20,20.0578536997877,0.016615622685431,5,20261435,1,0,500.044362297518,1300.07357380659,0.248424294491078,0.148326763417129,0.0589680520523075,0.00162447104589654,0.00187942701393261,0.1937723,1,0,0,0,NaN,NaN
A_blind_transfer,15,15.011900554456,0.0295472197064776,1,20262431,NaN,NaN,500.015377210852,1299.97488974876,0.246742797807103,0.143679708813049,0.0202437310479411,0.00478874668992404,0.00321877210796567,2.9670819,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,15.011900554456,0.0295472197064776,1,20262431,NaN,NaN,500.021973162604,1299.99207711941,0.245211685355065,0.152930336731693,0.0149480215987978,0.00385932568831396,0.00327034246930241,1.1783249,1,0,0,0,0.965908864497358,2.16866243824094
B_gap_library_joint,15,15.011900554456,0.0295472197064776,1,20262431,0.992655295153986,0.00734470484601413,500.016882456403,1299.99887680444,0.244202707724233,0.156438040169558,0.00900282598044555,0.00611766622266244,0.00330964935668407,0.4190998,1,0,0,0,NaN,NaN
C_same_gap_direct,15,15.011900554456,0.0295472197064776,1,20262431,1,0,500.002966763199,1299.99843494173,0.242711867916863,0.155884830475229,0.00226591073544569,0.00658648127918267,0.00330478535959198,0.1734701,1,0,0,0,NaN,NaN
A_blind_transfer,15,14.9911751308919,0.0295472197064776,2,20262432,NaN,NaN,499.732807216543,1299.94876167799,0.250477724962847,0.14230718678369,0.159215552733343,0.00408526908957847,0.00322237929120375,2.5224196,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,14.9911751308919,0.0295472197064776,2,20262432,NaN,NaN,499.962112156619,1299.9401937306,0.25182740059297,0.152055771007853,0.0488470563925603,0.00194158580041165,0.00328036469910578,1.025151,1,0,0,0,0.966079844346303,2.16596131864357
B_gap_library_joint,15,14.9911751308919,0.0295472197064776,2,20262432,0.993113196700331,0.00688680329966895,499.960262103885,1299.93622315697,0.250946302707219,0.154881917442781,0.0517573695722717,0.00291411007499991,0.0033233618084949,0.4604817,1,0,0,0,NaN,NaN
C_same_gap_direct,15,14.9911751308919,0.0295472197064776,2,20262432,1,0,499.949636783202,1299.94471954786,0.250460165579772,0.154254294194339,0.0528218344690572,0.00235722988705543,0.0033187439808474,0.2117717,1,0,0,0,NaN,NaN
A_blind_transfer,15,14.9890512164521,0.0295472197064776,3,20262433,NaN,NaN,500.192424270913,1300.24924003947,0.246226310396027,0.143296400742801,0.220832155190664,0.00523864443058622,0.00325535238380063,2.0383646,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,14.9890512164521,0.0295472197064776,3,20262433,NaN,NaN,500.050713046081,1299.94782221436,0.248806230025162,0.144871755718546,0.0514454158583817,0.00316100712814607,0.00328069920113822,0.9183188,1,0,0,0,0.966089436690384,2.16149008958825
B_gap_library_joint,15,14.9890512164521,0.0295472197064776,3,20262433,0.99295680585383,0.00704319414617005,500.055257338284,1299.9425344034,0.246780439299774,0.148293163366873,0.0563614674443045,0.00246319866667635,0.00331661067851546,0.4212268,1,0,0,0,NaN,NaN
C_same_gap_direct,15,14.9890512164521,0.0295472197064776,3,20262433,1,0,500.05793735704,1299.96243479806,0.248025444636684,0.147262701645963,0.0477512794917345,0.00235592685867657,0.00330862322655098,0.2245512,1,0,0,0,NaN,NaN
A_blind_transfer,15,14.9925499358981,0.0295472197064776,4,20262434,NaN,NaN,500.139254493253,1300.13665429295,0.244850801878078,0.144956577281913,0.137954393102177,0.0050963104200043,0.00341001479018791,2.0813835,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,14.9925499358981,0.0295472197064776,4,20262434,NaN,NaN,500.071994529592,1300.05017273374,0.249677379147366,0.150141916522158,0.0610836316659515,0.00023226868739612,0.0034237605750014,1.0623107,1,0,0,0,0.965882746460229,2.16689459336805
B_gap_library_joint,15,14.9925499358981,0.0295472197064776,4,20262434,0.993575883239006,0.00642411676099375,500.076328687633,1300.03890669452,0.248416888975657,0.151190928012099,0.0576176910786046,0.00138701951822108,0.00345545965196318,0.4692473,1,0,0,0,NaN,NaN
C_same_gap_direct,15,14.9925499358981,0.0295472197064776,4,20262434,1,0,500.078663857033,1300.04133770303,0.248118988181223,0.151099240279813,0.0600007800334197,0.00149012604929515,0.00344708683897936,0.2015554,1,0,0,0,NaN,NaN
A_blind_transfer,15,15.0170066474137,0.0295472197064776,5,20262435,NaN,NaN,500.085887688815,1300.21840136922,0.24758014354825,0.142350520834826,0.15214452901489,0.00503466780846208,0.00330529967265656,2.1543144,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,15.0170066474137,0.0295472197064776,5,20262435,NaN,NaN,500.017321669589,1300.04231494233,0.248314401636601,0.149283260558906,0.0298183059594237,0.00120116890224645,0.00332130640599237,1.0969215,1,0,0,0,0.965867237460471,2.16757898724397
B_gap_library_joint,15,15.0170066474137,0.0295472197064776,5,20262435,0.99354607431131,0.00645392568868985,500.009768491718,1300.05154371219,0.247396852360598,0.152304894479367,0.0306561019523031,0.00245402105938435,0.00336184913970941,0.4448875,1,0,0,0,NaN,NaN
C_same_gap_direct,15,15.0170066474137,0.0295472197064776,5,20262435,1,0,500.013764836446,1300.0300553594,0.249796186814199,0.149093536669867,0.021910097923211,0.000555138257966811,0.00335857615497575,0.18256,1,0,0,0,NaN,NaN
A_blind_transfer,10,10.0285079842864,0.0525432124279254,1,20263431,NaN,NaN,500.040245638205,1299.66907811392,0.242313535462963,0.167889924131516,0.185583762141221,0.0127881943342767,0.00564685401708497,2.7385147,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,10.0285079842864,0.0525432124279254,1,20263431,NaN,NaN,500.072255400821,1299.752457029,0.243833120403951,0.15554651769208,0.159899185907904,0.00585669864406443,0.00569210305545185,0.9829233,1,0,0,0,0.966244485654184,2.13395522605972
B_gap_library_joint,10,10.0285079842864,0.0525432124279254,1,20263431,0.994259625999046,0.00574037400095351,500.101021796962,1299.77460771816,0.240715366438255,0.161893789960245,0.163207039399367,0.0105892117609948,0.00572666262063157,0.3956837,1,0,0,0,NaN,NaN
C_same_gap_direct,10,10.0285079842864,0.0525432124279254,1,20263431,1,0,500.101719385947,1299.77238512172,0.242377305259258,0.159340262570786,0.164667132113578,0.00848147865576387,0.00572141045265792,0.2242221,1,0,0,0,NaN,NaN
A_blind_transfer,10,9.96529908871615,0.0525432124279254,2,20263432,NaN,NaN,500.156454218847,1299.69720016863,0.241797982465207,0.135296419093266,0.229627025109153,0.0114527992207633,0.00590438078568313,2.7713312,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,9.96529908871615,0.0525432124279254,2,20263432,NaN,NaN,500.104249811836,1300.00586093012,0.262535182374472,0.143372230289302,0.0550553709764472,0.00958147604258534,0.0059464866669365,0.9511201,1,0,0,0,0.966025819610663,2.1668028164172
B_gap_library_joint,10,9.96529908871615,0.0525432124279254,2,20263432,0.99453858247595,0.00546141752404972,500.107671310562,1300.01382493503,0.258694719648343,0.147933718665566,0.0607481227966389,0.0053805004913887,0.00597974808652396,0.4082868,1,0,0,0,NaN,NaN
C_same_gap_direct,10,9.96529908871615,0.0525432124279254,2,20263432,1,0,500.120941402936,1300.02445065993,0.262337955330465,0.143505896914274,0.0726960314352425,0.00941602920809563,0.00598049316222777,0.2503545,1,0,0,0,NaN,NaN
A_blind_transfer,10,9.9349890872554,0.0525432124279254,3,20263433,NaN,NaN,500.209683325554,1299.75361314412,0.249255712581225,0.155979147430879,0.228035090717185,0.00336171742482677,0.00562885299475895,3.1196442,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,9.9349890872554,0.0525432124279254,3,20263433,NaN,NaN,500.116303218604,1300.03674036956,0.252491283155114,0.142193793568453,0.0765217940826517,0.00514874479333043,0.00572184463689883,0.9598411,1,0,0,0,0.966026439468331,2.16499136540517
B_gap_library_joint,10,9.9349890872554,0.0525432124279254,3,20263433,0.993415321731284,0.00658467826871623,500.125255323382,1300.0497890257,0.251443312126716,0.140517215265819,0.0875221745435795,0.00546304843044869,0.0057644481376771,0.3803715,1,0,0,0,NaN,NaN
C_same_gap_direct,10,9.9349890872554,0.0525432124279254,3,20263433,1,0,500.117434631961,1300.03109581014,0.252739149179949,0.140655447299277,0.0742652210510073,0.00604185094033609,0.00576107069709046,0.1564905,1,0,0,0,NaN,NaN
A_blind_transfer,10,9.9447418747223,0.0525432124279254,4,20263434,NaN,NaN,499.600294263465,1300.31723750852,0.254323294953884,0.173183494871287,0.358471622528839,0.0137533949125856,0.00565372177515802,3.0080111,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,9.9447418747223,0.0525432124279254,4,20263434,NaN,NaN,499.922478749852,1300.21847473527,0.239280113458617,0.160134241583118,0.147997992707758,0.0104270640622502,0.00579025249074407,0.9755054,1,0,0,0,0.966234763423792,2.165358859642
