method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit
C_same_gap_direct,10,9.9447418747223,0.0525432124279254,4,20263434,1,0,499.950755646935,1300.21045418169,0.239596019424225,0.159749038867006,0.129849267376358,0.0100765097213904,0.00582597610157715,0.1254267,1,0,0,0
A_blind_transfer,10,9.99247534366377,0.0525432124279254,5,20263435,NaN,NaN,500.324332972557,1299.85835482407,0.249043267281887,0.121003584690138,0.232989074242312,0.0149765740139871,0.0058132241284859,2.1847035,1,0,0,0
B_gap_library_joint,10,9.99247534366377,0.0525432124279254,5,20263435,0.991472296447626,0.0085277035523742,500.087507337824,1299.97473988357,0.247548101790932,0.13838849199169,0.0563837271256773,0.00703170310868904,0.00595560101213061,0.2615052,1,0,0,0
C_same_gap_direct,10,9.99247534366377,0.0525432124279254,5,20263435,1,0,500.079128236033,1299.98578189223,0.245784056665415,0.140942912836314,0.0466731719010056,0.00663651524913558,0.00595769967694598,0.1385223,1,0,0,0
A_blind_transfer,5,4.9671044274919,0.093436512797881,1,20264431,NaN,NaN,500.248828071062,1299.18945269982,0.252188260723892,0.145113487232738,0.529687685622463,0.00353738674557737,0.0101873688728247,1.6985792,1,0,0,0
B_gap_library_joint,5,4.9671044274919,0.093436512797881,1,20264431,0.989146844057518,0.0108531559424824,500.156455369514,1299.75173624727,0.251202947777393,0.155668506029771,0.202359561124382,0.0034357269035822,0.0105619667793454,0.2837784,1,0,0,0
C_same_gap_direct,5,4.9671044274919,0.093436512797881,1,20264431,1,0,500.163098374951,1299.74180721545,0.252091511328116,0.153428461658037,0.210645579750349,0.00275998649307639,0.0105661511784264,0.1337804,1,0,0,0
A_blind_transfer,5,5.02688077730701,0.093436512797881,2,20264432,NaN,NaN,500.353021356561,1299.18951983048,0.287595546618633,0.151148625026334,0.58175076304056,0.0193720858224834,0.0102639305468659,2.0030262,1,0,0,0
B_gap_library_joint,5,5.02688077730701,0.093436512797881,2,20264432,0.989957622465699,0.0100423775343013,500.089984893943,1299.65606438715,0.265176752338725,0.157494867381106,0.216960253394291,0.0113358098599158,0.0105244318695604,0.2721977,1,0,0,0
C_same_gap_direct,5,5.02688077730701,0.093436512797881,2,20264432,1,0,500.064975126122,1299.68322614116,0.266800360026991,0.153062450007017,0.190874492479679,0.00993140501700415,0.0105182684212595,0.1471768,1,0,0,0
A_blind_transfer,5,5.02851588991717,0.093436512797881,3,20264433,NaN,NaN,500.41478024888,1300.17254972084,0.271530999248494,0.13767528699745,0.293664984861977,0.016927856125522,0.0101381839580948,1.8519975,1,0,0,0
B_gap_library_joint,5,5.02851588991717,0.093436512797881,3,20264433,0.993218132702449,0.00678186729755126,500.218241481674,1299.90750029254,0.257643675280088,0.148736003240149,0.155370594568694,0.00445383601996968,0.0104396101267744,0.2977034,1,0,0,0
C_same_gap_direct,5,5.02851588991717,0.093436512797881,3,20264433,1,0,500.250782416217,1299.88814507035,0.257198454484161,0.148656652336473,0.181318672933799,0.00427090107384415,0.0104350518228069,0.1558269,1,0,0,0
A_blind_transfer,5,4.97653409392898,0.093436512797881,4,20264434,NaN,NaN,499.724429650275,1299.55074632353,0.253374061326288,0.141018161485971,0.362412013095053,0.00617794992015876,0.00993099094206626,2.3435186,1,0,0,0
B_gap_library_joint,5,4.97653409392898,0.093436512797881,4,20264434,0.993054297787965,0.00694570221203528,499.849886090482,1299.96492094027,0.274451551929936,0.147458683060226,0.0925964846235274,0.0134964344348547,0.0102198962015468,0.2637134,1,0,0,0
C_same_gap_direct,5,4.97653409392898,0.093436512797881,4,20264434,1,0,499.853616898825,1299.92527083765,0.271879408969848,0.150236981227017,0.110556131760006,0.0110581950984325,0.0102184093826929,0.1520691,1,0,0,0
A_blind_transfer,5,5.06167559527336,0.093436512797881,5,20264435,NaN,NaN,499.782695308576,1250.32982691591,0.263805862472778,0.114201473120784,24.9437388877575,0.0248021946759971,0.00990444038254243,1.7079787,0,0,0,0
B_gap_library_joint,5,5.06167559527336,0.093436512797881,5,20264435,0.991385642833224,0.00861435716677583,499.958410563785,1300.0243603858,0.230943070548181,0.145792793695616,0.0329749110061073,0.0116320678781016,0.0101038002446205,0.2948281,1,0,0,0
C_same_gap_direct,5,5.06167559527336,0.093436512797881,5,20264435,1,0,499.944407363508,1300.04752778868,0.223193714824888,0.147844658950791,0.0515602125859118,0.0144808131121602,0.0101064841618207,0.1530674,1,0,0,0
A_blind_transfer,0,-0.0332475347433481,0.16615622685431,1,20265431,NaN,NaN,450.355909466739,1300.29355640663,0.384743366149193,0.181624621200638,24.9688234699473,0.0831839936749155,0.0181016226931226,1.9381678,0,0,0,0
B_gap_library_joint,0,-0.0332475347433481,0.16615622685431,1,20265431,0.989139059218386,0.0108609407816144,400,1101.00629159755,0.214258246815615,0.132576172886717,149.496854201224,0.0265827901488339,0.0186967754585874,0.3435574,0,1,1,1
C_same_gap_direct,0,-0.0332475347433481,0.16615622685431,1,20265431,1,0,400,1100.94956609706,0.206823195554725,0.139200330582548,149.525216951468,0.0269882369313637,0.0186998844711352,0.2111901,0,1,1,1
A_blind_transfer,0,0.00122184356995516,0.16615622685431,2,20265432,NaN,NaN,499.5671841914,1300.25863482735,0.266480979339556,0.168774666737105,0.345725317976502,0.0176278230383308,0.0176826836557861,2.2119027,1,0,0,0
B_gap_library_joint,0,0.00122184356995516,0.16615622685431,2,20265432,0.995521499853465,0.00447850014653495,499.62601053185,1300.25044554787,0.250547662095934,0.17109630299923,0.312217508011287,0.010821982547582,0.0182968342445446,0.3299015,1,0,0,0
C_same_gap_direct,0,0.00122184356995516,0.16615622685431,2,20265432,1,0,499.600851107104,1300.26088491031,0.244244063891958,0.175669766923535,0.330016901601908,0.0157128515157886,0.0182993685534107,0.1941632,1,0,0,0
A_blind_transfer,0,-0.0431888092744925,0.16615622685431,3,20265433,NaN,NaN,500.137520296858,1378.82185261739,0.286024694724969,0.0597957867820223,39.4796864571233,0.0631144539714734,0.0177894707418531,2.6893547,0,0,0,0
B_gap_library_joint,0,-0.0431888092744925,0.16615622685431,3,20265433,0.982679848520765,0.0173201514792353,500.075942688099,1300.25758593318,0.256103408890497,0.145486018220581,0.166764310637575,0.0053086953349577,0.0183825946947993,0.3370107,1,0,0,0
C_same_gap_direct,0,-0.0431888092744925,0.16615622685431,3,20265433,1,0,500.161879447273,1300.25355266767,0.264799065699446,0.147130125996115,0.207716057470492,0.00883446985166587,0.0184026661752128,0.1930707,1,0,0,0
A_blind_transfer,0,0.00278404531364996,0.16615622685431,4,20265434,NaN,NaN,499.93183716882,1301.13287955629,0.262884061006382,0.160555635150956,0.600521193733584,0.0117198480786692,0.0181686444414746,2.0293457,1,0,0,0
B_gap_library_joint,0,0.00278404531364996,0.16615622685431,4,20265434,0.990752430375913,0.0092475696240869,499.928434406211,1301.19938901562,0.256152738499748,0.174045452058814,0.635477304705859,0.015099095279281,0.0187111211073464,0.3944499,1,0,0,0
C_same_gap_direct,0,0.00278404531364996,0.16615622685431,4,20265434,1,0,499.972170615106,1301.21032135575,0.255198716693115,0.171408305706639,0.619075370320616,0.0133035111998769,0.0187028692600886,0.1848723,1,0,0,0
A_blind_transfer,0,0.014501462479028,0.16615622685431,5,20265435,NaN,NaN,449.918226578736,1300.30994006591,0.423407964090552,0.215527867413866,25.1958567435859,0.119467915752209,0.0175420369565797,1.858184,0,0,0,0
B_gap_library_joint,0,0.014501462479028,0.16615622685431,5,20265435,0.990140418932734,0.00985958106726603,500.045614325736,1299.59197719118,0.24477625036928,0.145856078358997,0.226818567276354,0.00468383563586169,0.0180699853363009,0.3288736,1,0,0,0
C_same_gap_direct,0,0.014501462479028,0.16615622685431,5,20265435,1,0,500.037740745256,1299.49253558944,0.237809632100259,0.155840938110094,0.272602577908117,0.00901565300491761,0.0180703092271593,0.2011074,1,0,0,0
