scenario,num_revs_high,method,target_snr_db,freq_error_mean_Hz,freq_error_median_Hz,freq_error_p90_Hz,freq_error_std_Hz,amp_error_mean_mm,rmse_mean,elapsed_mean_s,gap_error_mean_mm,success_rate,boundary_hit_rate,num_trials
integer_500_1300,8,A_blind_transfer,10,0.29163781235394,0.269637562050633,0.322993230535957,0.0387079844192725,0.0094429680995729,0.00571666937652473,2.29440696666667,NaN,1,0,3
integer_500_1300,8,A4_low_locked_transfer,10,0.108839160837249,0.10993531647631,0.140202557653777,0.0394896967440445,0.00514941503099628,0.00579843040791434,0.641157633333333,NaN,1,0,3
integer_500_1300,8,A5_warp_only_alias,10,0.108254268289708,0.114986675673777,0.136140982636653,0.0370037136328704,0.00617007354607925,0.00586800690062129,1.7418931,NaN,1,0,3
integer_500_1300,8,A2_constrained_varpro,10,0.106064106280191,0.121211208296273,0.12455114466805,0.0299240354549314,0.00610355069819601,0.00585179673630987,1.04349226666667,NaN,1,0,3
integer_500_1300,8,A3_physics_template,10,0.109049609179105,0.117668973983086,0.131661364541083,0.0313220085783288,0.00630032563448893,0.00585260256676726,1.6544754,NaN,1,0,3
integer_500_1300,8,B_gap_library_joint,10,0.105249952927532,0.106815305677969,0.134099288116886,0.0364782055339168,0.00589454282809806,0.00588691735404102,0.386902566666667,0.00709963619418282,1,0,3
integer_500_1300,8,C_same_gap_direct,10,0.104113391987208,0.11231253800338,0.114479920203894,0.0166029504288889,0.0054418929783512,0.0058819827240811,0.185868333333333,0,1,0,3
integer_500_1300,20,A_blind_transfer,10,0.0962921194942415,0.111752285020032,0.123892207114739,0.0406343123811119,0.0100257742540271,0.00600221407202038,5.45879973333333,NaN,1,0,3
integer_500_1300,20,A4_low_locked_transfer,10,0.0239007501076287,0.0232473399509274,0.0325237004960911,0.0106304071071767,0.00373289952442312,0.00603471233627813,1.4208071,NaN,1,0,3
integer_500_1300,20,A5_warp_only_alias,10,0.0242824426404601,0.0251600552627167,0.0326054994567073,0.0106503776847075,0.00581516427768666,0.00601786082279133,2.5161931,NaN,1,0,3
integer_500_1300,20,A2_constrained_varpro,10,0.0256577039542189,0.0257481368026617,0.0359275455698878,0.0128601487060749,0.00482546811112204,0.00600546131344458,1.92194256666667,NaN,1,0,3
integer_500_1300,20,A3_physics_template,10,0.0254490198600195,0.0248165778949101,0.0348790462827878,0.0116423131583791,0.00485243961116455,0.00600723070623158,2.7863582,NaN,1,0,3
integer_500_1300,20,B_gap_library_joint,10,0.0235542123652503,0.023156810075335,0.0321689971212493,0.0106746798238097,0.00585835037495396,0.00603804304056746,0.7683584,0.00737175952980214,1,0,3
integer_500_1300,20,C_same_gap_direct,10,0.0229193239922078,0.0248261319263747,0.0324327282645527,0.0124782079622151,0.00376703267707134,0.00603612900905239,0.4210229,0,1,0,3
noninteger_520_1270,2,A_blind_transfer,10,1.91200133751829,1.19783662484326,3.69748797001018,2.1444427229205,0.01578275763992,0.00437924434456771,0.719423833333333,NaN,0.333333333333333,0,3
noninteger_520_1270,2,A4_low_locked_transfer,10,9.09488887882048,4.32240080630191,18.8706444886315,11.775728545196,0.0197535060453959,0.00449447155634374,0.362833833333333,NaN,0.333333333333333,0,3
noninteger_520_1270,2,A5_warp_only_alias,10,0.168526652777265,0.000149075302260826,0.404266844025869,0.291651057862971,0.0331905849377767,0.00502095282503544,0.8788274,NaN,1,0,3
noninteger_520_1270,2,A2_constrained_varpro,10,1.8002383958764,2.49549992804594,2.49616192493021,1.20494500194996,0.0243849128302647,0.00493611401438801,0.678600633333333,NaN,0.333333333333333,0,3
noninteger_520_1270,2,A3_physics_template,10,0.604032850520089,0.385685844697662,0.97321846837757,0.44868733285778,0.0144083072669209,0.00486701546986689,1.0352724,NaN,0.666666666666667,0,3
noninteger_520_1270,2,B_gap_library_joint,10,0.626400489119457,0.447455599947716,1.01012660323017,0.461706180266009,0.0146856667928804,0.00494670169876487,0.1403641,0.00771125758043338,0.666666666666667,0,3
noninteger_520_1270,2,C_same_gap_direct,10,0.671507726301021,0.535905941766714,0.94857256315795,0.33377202212592,0.0158650430250991,0.00494966287540098,0.0711884,0,0.666666666666667,0,3
noninteger_520_1270,4,A_blind_transfer,10,8.98069850822708,1.28388501901287,20.1350045892505,13.7433385254393,0.0244189819370957,0.00513560236492929,1.1470224,NaN,0.333333333333333,0,3
noninteger_520_1270,4,A4_low_locked_transfer,10,8.54037307786094,1.28388534031939,19.5307273953038,13.4785001783441,0.0145617781313287,0.00521539402985206,0.5674023,NaN,0.333333333333333,0,3
noninteger_520_1270,4,A5_warp_only_alias,10,23.7283555771643,23.7388778917507,42.5000105796215,23.4672011009816,0.0417738505204729,0.00598444738511802,1.2740945,NaN,0.333333333333333,0,3
noninteger_520_1270,4,A2_constrained_varpro,10,16.7481700229202,25.0001313620774,25.0034863390084,14.2964483243519,0.0392469838898055,0.00557708786622468,0.948304033333333,NaN,0.333333333333333,0,3
noninteger_520_1270,4,A3_physics_template,10,16.7458972061553,25.0001350296226,25.0031759070007,14.3000512606223,0.0388981647727747,0.00558393530601404,1.42287893333333,NaN,0.333333333333333,0,3
noninteger_520_1270,4,B_gap_library_joint,10,0.210603260489393,0.258169489321233,0.306165956004213,0.137653184990075,0.00734966561550365,0.00544028167644307,0.2382702,0.00776508548017696,1,0,3
noninteger_520_1270,4,C_same_gap_direct,10,0.213307186027407,0.232209839663142,0.303884407841383,0.119077800300099,0.00712828447685066,0.00543631113549564,0.134068933333333,0,1,0,3
noninteger_520_1270,8,A_blind_transfer,10,0.444561188366019,0.154862373532524,0.884199517366051,0.539064567247558,0.0155243954389575,0.00580170492544123,2.05768423333333,NaN,0.666666666666667,0,3
noninteger_520_1270,8,A4_low_locked_transfer,10,24.9963577722395,24.9727323989219,44.9755016141825,24.9680318421945,0.0364263412390158,0.00605239663979686,0.847343466666667,NaN,0.333333333333333,0,3
noninteger_520_1270,8,A5_warp_only_alias,10,40.6835618166443,48.1884189165804,49.2339292675258,14.1456925610578,0.061488749166013,0.00685780902719832,2.07286136666667,NaN,0,0,3
noninteger_520_1270,8,A2_constrained_varpro,10,25.0048386206443,25.0051314177317,25.0068027271934,0.00254101606061915,0.0530985520376709,0.00615541529242309,1.60379776666667,NaN,0,0,3
noninteger_520_1270,8,A3_physics_template,10,25.0049135722685,25.0051934979776,25.0069144618815,0.00258249691146574,0.0531917921296508,0.00615723770445189,1.99693646666667,NaN,0,0,3
