method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
C_same_gap_direct,20,20.0083827845062,0.016615622685431,3,20261433,1,0,500.013746574019,1300.01064977329,0.25032679776081,0.149552686968589,0.0121981736561736,0.000387055396110308,0.00185053239052736,0.123826,1,0,0,0,NaN,NaN
A_blind_transfer,20,20.0059717701325,0.016615622685431,4,20261434,NaN,NaN,499.956415277244,1299.94229243685,0.254255078246247,0.147509808067477,0.050646142954264,0.00337263508938468,0.00182319926056395,1.9608281,1,0,0,0,NaN,NaN
A2_constrained_varpro,20,20.0059717701325,0.016615622685431,4,20261434,NaN,NaN,500.001616324443,1299.9828738873,0.254530348114794,0.148280816873801,0.00937121857344891,0.00312476562049673,0.00183966248201457,0.6967408,1,0,0,0,0.965751619355145,2.17320484577913
A3_physics_template,20,20.0059717701325,0.016615622685431,4,20261434,NaN,NaN,500.004416481663,1299.97991779019,0.254352306097129,0.148358663702492,0.0122493457371036,0.00299682119731887,0.00184201130572572,1.0382315,1,0,0,0,0.965808042349982,2.16638936318625
B_gap_library_joint,20,20.0059717701325,0.016615622685431,4,20261434,0.992893940391981,0.0071060596080188,500.007805546093,1299.98491596947,0.253660104091877,0.150448516789726,0.0114447883132129,0.00205431044080129,0.00186966310965558,0.308964,1,0,0,0,NaN,NaN
C_same_gap_direct,20,20.0059717701325,0.016615622685431,4,20261434,1,0,500.00273583052,1299.99076217346,0.252708076273678,0.150896745415716,0.00598682852796628,0.00180241084469694,0.00186342685159164,0.1676567,1,0,0,0,NaN,NaN
A_blind_transfer,20,20.0578536997877,0.016615622685431,5,20261435,NaN,NaN,500.093307654931,1300.05319543338,0.249051395140318,0.149733418273095,0.0732515441552266,0.000607593293293615,0.0018549100453603,1.6292639,1,0,0,0,NaN,NaN
A2_constrained_varpro,20,20.0578536997877,0.016615622685431,5,20261435,NaN,NaN,500.041061908261,1300.08124608345,0.248983099351018,0.147791569687994,0.0611539958572109,0.00161266548049369,0.00186174475515223,1.0030318,1,0,0,0,0.965452437065871,2.17853846817955
A3_physics_template,20,20.0578536997877,0.016615622685431,5,20261435,NaN,NaN,500.041811524459,1300.08154639081,0.248906482269149,0.147733865151702,0.061678957636218,0.00167982628957423,0.00186243395383915,1.3479879,1,0,0,0,0.965564458361365,2.17989318520119
B_gap_library_joint,20,20.0578536997877,0.016615622685431,5,20261435,0.99351546415483,0.00648453584516973,500.04746629956,1300.0756548113,0.249029448999063,0.147895893940602,0.0615605554278034,0.00153732853016705,0.00188511710004048,0.3090669,1,0,0,0,NaN,NaN
C_same_gap_direct,20,20.0578536997877,0.016615622685431,5,20261435,1,0,500.044362297518,1300.07357380659,0.248424294491078,0.148326763417129,0.0589680520523075,0.00162447104589654,0.00187942701393261,0.1564669,1,0,0,0,NaN,NaN
A_blind_transfer,15,15.011900554456,0.0295472197064776,1,20262431,NaN,NaN,500.015377210852,1299.97488974876,0.246742797807103,0.143679708813049,0.0202437310479411,0.00478874668992404,0.00321877210796567,2.1112556,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,15.011900554456,0.0295472197064776,1,20262431,NaN,NaN,500.021973162604,1299.99207711941,0.245211685355065,0.152930336731693,0.0149480215987978,0.00385932568831396,0.00327034246930241,0.9015815,1,0,0,0,0.965908864497358,2.16866243824094
A3_physics_template,15,15.011900554456,0.0295472197064776,1,20262431,NaN,NaN,500.021160613833,1299.99876470166,0.245129525292649,0.152918559568898,0.0111979560841178,0.00389451713812454,0.00327197948586925,1.4336371,1,0,0,0,0.965764691481778,2.16059762028783
B_gap_library_joint,15,15.011900554456,0.0295472197064776,1,20262431,0.992655295153986,0.00734470484601413,500.016882456403,1299.99887680444,0.244202707724233,0.156438040169558,0.00900282598044555,0.00611766622266244,0.00330964935668407,0.3293104,1,0,0,0,NaN,NaN
C_same_gap_direct,15,15.011900554456,0.0295472197064776,1,20262431,1,0,500.002966763199,1299.99843494173,0.242711867916863,0.155884830475229,0.00226591073544569,0.00658648127918267,0.00330478535959198,0.1548687,1,0,0,0,NaN,NaN
A_blind_transfer,15,14.9911751308919,0.0295472197064776,2,20262432,NaN,NaN,499.732807216543,1299.94876167799,0.250477724962847,0.14230718678369,0.159215552733343,0.00408526908957847,0.00322237929120375,1.6759159,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,14.9911751308919,0.0295472197064776,2,20262432,NaN,NaN,499.962112156619,1299.9401937306,0.25182740059297,0.152055771007853,0.0488470563925603,0.00194158580041165,0.00328036469910578,0.7254252,1,0,0,0,0.966079844346303,2.16596131864357
A3_physics_template,15,14.9911751308919,0.0295472197064776,2,20262432,NaN,NaN,499.962729549547,1299.94102533638,0.251805463452704,0.1519352019932,0.0481225570360664,0.00187033272295196,0.00327899456062142,1.1398375,1,0,0,0,0.966023574745418,2.16354441919477
B_gap_library_joint,15,14.9911751308919,0.0295472197064776,2,20262432,0.993113196700331,0.00688680329966895,499.960262103885,1299.93622315697,0.250946302707219,0.154881917442781,0.0517573695722717,0.00291411007499991,0.0033233618084949,0.3097126,1,0,0,0,NaN,NaN
