subset_size,subset_idx,subset_gaps_mm,n_holdout,include_min_gap,include_ref_gap,include_both_endpoints,max_gap_spacing_mm,mean_holdout_rmse_pF,max_holdout_rmse_pF,mean_holdout_shape_rmse,max_holdout_shape_rmse,mean_holdout_amp_rel_err,max_holdout_amp_rel_err
2,3-5,"0.6,1.0",5,0,0,0,0.4,0.0408262946895088,0.138020007018789,0.000473558434622295,0.000671650228380469,0.259279582549956,0.475196309196291
2,3-6,"0.6,1.2",5,0,0,0,0.6,0.0401451855670791,0.144839099079435,0.00043626960914357,0.000659024075746154,0.205644266430834,0.468285371493584
2,3-7,"0.6,1.4",5,0,1,0,0.8,0.0427518913231181,0.150052737417969,0.000387859621542297,0.000609694649006932,0.215976120826624,0.485132602107957
2,4-5,"0.8,1.0",5,0,0,0,0.2,0.0457819069984194,0.157834748233861,0.000900612054439546,0.00135127837910288,0.23934549944238,0.510244822736113
2,4-6,"0.8,1.2",5,0,0,0,0.4,0.046835820562338,0.165745839728984,0.000617859734800195,0.000990497661114187,0.213272636453649,0.535836714105259
2,4-7,"0.8,1.4",5,0,1,0,0.6,0.0493335973584497,0.171990389454035,0.000484423410289708,0.000739638233381392,0.220040404955738,0.55602090681167
2,5-6,"1.0,1.2",5,0,0,0,0.2,0.0531656181544563,0.178932206317174,0.00103688843215836,0.00172934981112443,0.240551251744458,0.57848986638717
2,5-7,"1.0,1.4",5,0,1,0,0.4,0.056411736394229,0.186146333706974,0.000600686199443689,0.000966059317304926,0.252798058622317,0.601796990887227
2,6-7,"1.2,1.4",5,0,1,0,0.2,0.0632646382162114,0.196966841103735,0.00149319241084664,0.00228258915236165,0.297090266424779,0.636757677637313
3,1-2-3,"0.2,0.4,0.6",4,1,0,0,0.2,0.963670559670329,2.22788176726279,0.00740506263972385,0.0162474592804836,17.262135489926,44.180107359832
3,1-2-4,"0.2,0.4,0.8",4,1,0,0,0.4,0.152452121244516,0.384164951525677,0.00169906105386783,0.00370719490182207,2.77598492629864,7.59513615612619
